Repository,Stars,Language
the-algorithm,59774,Scala
stable-diffusion,59730,Jupyter Notebook
atom,59585,JavaScript
cs-video-courses,59577
vite,59365,TypeScript
nest,59351,TypeScript
keras,59140,Python
markdown-here,59136,JavaScript
angular.js,59092,JavaScript
socket.io,58900,TypeScript
github-readme-stats,58771,JavaScript
ansible,58467,Python
architect-awesome,58431
awesome-react,57905
Front-end-Developer-Interview-Questions,57788,Nunjucks
jquery,57788,JavaScript
devops-exercises,57690,Python
33-js-concepts,57527,JavaScript
nocode,57520,Dockerfile
awesome-interview-questions,57245
lodash,57113,JavaScript
grafana,56974,TypeScript
shadowsocks-windows,56929,C#
funNLP,56488,Python
supabase,56332,TypeScript
echarts,56244,TypeScript
awesome-for-beginners,56080
javascript-questions,56009
strapi,55850,JavaScript
awesome-public-datasets,55779
HowToCook,55730,Shell
scikit-learn,55630,Python
cpython,55558,Python
Apollo-11,55389,Assembly
yt-dlp,55385,Python
html5-boilerplate,55206,JavaScript
gatsby,54707,JavaScript
playwright,54531,TypeScript
excalidraw,54320,TypeScript
hoppscotch,54223,TypeScript
fzf,54164,Go
syncthing,54111,Go
superset,54059,TypeScript
element,53644,Vue
rails,53439,Ruby
Java,53424,Java
ML-For-Beginners,53409,HTML
manim,53210,Python
tesseract,53112,C++
design-resources-for-developers,53093
spring-framework,53031,Java
awesome-nodejs,52639
Ventoy,52494,C
leetcode,52329,JavaScript
Best-websites-a-programmer-should-visit,52023
gpt4all,51797,C++
DeepLearning-500-questions,51465,JavaScript
react-router,50936,TypeScript
normalize.css,50882,CSS
Semantic-UI,50740,JavaScript
PayloadsAllTheThings,50360,Python
tabby,50339,TypeScript
requests,50170,Python
obs-studio,50058,C
imgui,50054,C++
prometheus,49753,Go
caddy,49519,Go
ionic-framework,49488,TypeScript
face_recognition,49244,Python
awesome-courses,48996
awesome-cpp,48735
SecLists,48675,PHP
material-design-icons,48564
alacritty,48461,Rust
scrapy,48363,Python
localstack,48347,Python
awesome-flutter,48324,Dart
guava,48227,Java
awesome-scalability,48170
you-get,48100,Python
moment,47530,JavaScript
bulma,47478,CSS
openai-cookbook,47445,Jupyter Notebook
docusaurus,47424,TypeScript
nuxt,47300,TypeScript
git,47248,C
awesome-android-ui,47239
RxJava,47209,Java
jekyll,47187,Ruby
anime,46974,JavaScript
faceswap,46933,Python
d2l-zh,46816,Python
v2rayN,46796,C#
hacker-scripts,46758,JavaScript
rustdesk,46589,Rust
prettier,46549,JavaScript
clash,46383,Go
new-pac,46381
nerd-fonts,46142,CSS
kotlin,45666,Kotlin
tldr,45346,Markdown
big-list-of-naughty-strings,45149,Python
DefinitelyTyped,45130,TypeScript
serverless,45126,JavaScript
cypress,44856,JavaScript
chinese-poetry,44699,JavaScript
gpt4free,44641,Python
rich,44592,Python
Real-Time-Voice-Cloning,44572,Python
traefik,44509,Go
learn-regex,44480
okhttp,44437,Kotlin
etcd,44399,Go
whisper,44218,Python
algorithm-visualizer,44204,JavaScript
dayjs,44009,JavaScript
Ghost,43928,JavaScript
mastodon,43848,Ruby
awesome-ios,43833,Swift
pdf.js,43723,JavaScript
bun,43714,Zig
meteor,43705,JavaScript
go-ethereum,43553,Go
awesome-chatgpt-prompts-zh,43414
pi-hole,43288,Shell
architecture-samples,43106,Kotlin
julia,43091,Julia
sherlock,43078,Python
v2ray-core,43059,Go
TensorFlow-Examples,42925,Jupyter Notebook
act,42894,Go
AdminLTE,42890,Astro
gogs,42863,Go
Projects,42850
bat,42832,Rust
gpt-engineer,42739,Python
parcel,42665,JavaScript
ChatGPT-Next-Web,42664,TypeScript
jest,42633,TypeScript
drawio-desktop,42533,JavaScript
babel,42522,TypeScript
ghidra,42471,Java
mkcert,42457,Go
DeepFaceLab,42333,Python
build-web-application-with-golang,42296,Go
github-cheat-sheet,42283
react,42112,JavaScript
awesome-wechat-weapp,41970
retrofit,41955,Java
design-patterns-for-humans,41786
100-Days-Of-ML-Code,41740
leetcode-master,41684,Shell
project-layout,41612,Makefile
rustlings,41560,Rust
Microsoft-Activation-Scripts,41537,Batchfile
x64dbg,41524,C++
openpilot,41473,Python
hyper,41441,TypeScript
yolov5,41335,Python
yarn,41261,JavaScript
marktext,41254,JavaScript
git-flight-rules,41244
trackerslist,41159
llama,41104,Python
pixijs,40833,TypeScript
ChatGPT,40818,Rust
bypass-paywalls-chrome,40801,JavaScript
gpt_academic,40799,Python
minio,40674,Go
PowerShell,40490,C#
vue2-elm,40332,Vue
llama.cpp,40169,C
rclone,40108,Go
core,40046,TypeScript
Motrix,40024,JavaScript
ripgrep,39843,Rust
nw.js,39812,JavaScript
Alamofire,39712,Swift
pandas,39633,Python
pm2,39608,JavaScript
PythonDataScienceHandbook,39475,Jupyter Notebook
styled-components,39462,TypeScript
dubbo,39336,Java
huginn,39208,Ruby
frontend-dev-bookmarks,39063
grpc,38871,C++
materialize,38838,JavaScript
CppCoreGuidelines,38772,Python
terraform,38736,Go
discourse,38696,Ruby
meilisearch,38668,Rust
lazygit,38572,Go
uni-app,38565,JavaScript
hiring-without-whiteboards,38421,JavaScript
joplin,38402,TypeScript
zx,38380,JavaScript
powerlevel10k,38354,Shell
Leaflet,38327,JavaScript
AppFlowy,38283,Dart
gitea,38203,Go
30-Days-Of-JavaScript,38203,JavaScript
FFmpeg,38202,C
dive,38186,Go
front-end-interview-handbook,38164,MDX
edex-ui,38137,JavaScript
segment-anything,38040,Jupyter Notebook
python-patterns,38016,Python
uptime-kuma,37998,JavaScript
react-use,37974,TypeScript
vuetify,37896,TypeScript
Magisk,37772,C++
nocodb,37664,TypeScript
awesome-java,37551
fastlane,37496,Ruby
first-contributions,37464
hexo,37371,JavaScript
impress.js,37317,JavaScript
uBlock,37262,JavaScript
what-happens-when,37222
privateGPT,37221,Python
awesome-react-components,37015
brew,36973,Ruby
hackingtool,36932,Python
Rocket.Chat,36903,TypeScript
quill,36872,TypeScript
awesome-rust,36790,Rust
MPAndroidChart,36781,Java
open-source-mac-os-apps,36690
spark,36635,Scala
react-hook-form,36627,TypeScript
freecodecamp.cn,36498,CSS
kubernetes-the-hard-way,36411
json,36373,C++
ailearning,36308,Python
swiper,36300,JavaScript
open-source-ios-apps,36261
Deep-Learning-Papers-Reading-Roadmap,36215,Python
starship,36181,Rust
type-challenges,36160,TypeScript
query,36158,TypeScript
video.js,36138,JavaScript
jadx,36035,Java
weekly,35978
php-src,35962,C
esbuild,35940,Go
cheat.sh,35918,Python
kong,35841,Lua
drawio,35777,JavaScript
jeecg-boot,35743,Java
annotated_deep_learning_paper_implementations,35580,Jupyter Notebook
monaco-editor,35470,JavaScript
slate,35432,SCSS
Prompt-Engineering-Guide,35408,MDX
styleguide,35350,HTML
interview_internal_reference,35340,Python
tabler,35279,HTML
bert,35187,Python
phaser,35147,JavaScript
wrk,35121,C
Open-Assistant,35055,Python
sentry,35049,Python
preact,34973,JavaScript
lerna,34900,TypeScript
ant-design-pro,34826,TypeScript
tutorials,34824,Java
zustand,34787,TypeScript
tidb,34772,Go
fullPage.js,34715,JavaScript
pure-bash-bible,34704,Shell
node-v0.x-archive,34534
awesome-cheatsheets,34499,JavaScript
og-aws,34477,Shell
astro,34434,TypeScript
v,34387,V
JavaFamily,34371
the-way-to-go_ZH_CN,33422,Go
brackets,33394,JavaScript
zju-icicles,33380,HTML
n8n,33361,TypeScript
AFNetworking,33355,Objective-C
python-cheatsheet,33301,Python
awesome-react-native,33273,JavaScript
arthas,33268,Java
free,33251
cobra,33248,Go
pyenv,33217,Roff
cli,33170,Go
carbon,33153,JavaScript
955.WLB,33116
appwrite,33004,TypeScript
PaddleOCR,32983,Python
acme.sh,32981,Shell
shellcheck,32933,Haskell
DragGAN,32814,Python
gulp,32794,JavaScript
formik,32792,TypeScript
gold-miner,32723
hello-algorithm,32713,Java
immutable-js,32674,TypeScript
gym,32658,Python
CPlusPlusThings,32624,C++
vim,32532,Vim Script
aspnetcore,32525,C#
AndroidUtilCode,32438,Java
ColossalAI,32414,Python
date-fns,32239,TypeScript
XX-Net,32152,Python
awesome-design-patterns,32049
GFPGAN,32026,Python
typeorm,32022,TypeScript
vim-plug,31908,Vim Script
netty,31765,Java
ShadowsocksX-NG,31707,Swift
wtfjs,31702,JavaScript
ijkplayer,31625,C
reactjs-interview-questions,31614,JavaScript
airflow,31575,Python
zxing,31452,Java
Docker-OSX,31441,Shell
tesseract.js,31414,JavaScript
android-open-project,31291
aria2,31271,C++
12306,31225,Python
jieba,31175,Python
curl,31133,C
metasploit-framework,31098,Ruby
diagrams,31096,Python
carbon-lang,31059,C++
jQuery-File-Upload,31016,PHP
react-beautiful-dnd,30803,JavaScript
MockingBird,30784,Python
googletest,30711,C++
yuzu,30580,C++
ClickHouse,30558,C++
awesome-awesomeness,30537,Ruby
odoo,30497,JavaScript
insomnia,30493,JavaScript
50projects50days,30487,CSS
LeetCode-Go,30470,Go
lx-music-desktop,30445,TypeScript
marked,30418,TypeScript
compose,30403,Go
spring-boot-demo,30384,Java
lazydocker,30336,Go
tmux,30235,C
nvm-windows,30217,Go
certbot,30198,Python
husky,30157,JavaScript
beego,30157,Go
HanLP,30147,Python
framework,30131,PHP
graphql-engine,30111,TypeScript
ui,29951,TypeScript
Blog,29878
alist,29875,Go
ImHex,29864,C++
pandoc,29864,Haskell
HEAD,29747
vue-cli,29713,JavaScript
stablediffusion,29575,Python
p3c,29563,Kotlin
foundation-sites,29520,HTML
libpku,29488,TeX
REKCARC-TSC-UHT,29406,HTML
rxjs,29386,TypeScript
spring-boot-examples,29358,Java
phantomjs,29312,C++
vimrc,29298,Vim Script
Awesome-Design-Tools,29266,JavaScript
react-boilerplate,29241,JavaScript
COVID-19,29230
es6features,29158
English-level-up-tips,29144,HTML
awesome-php,29111
cli,29085,Python
spring-boot-demo,30384,Java
lazydocker,30336,Go
tmux,30235,C
interview,30231,C++
nvm-windows,30217,Go
certbot,30198,Python
husky,30157,JavaScript
beego,30157,Go
HanLP,30147,Python
framework,30131,PHP
graphql-engine,30111,TypeScript
ui,29951,TypeScript
Blog,29878
alist,29875,Go
ImHex,29864,C++
pandoc,29864,Haskell
HEAD,29747
vue-cli,29713,JavaScript
stablediffusion,29575,Python
p3c,29563,Kotlin
foundation-sites,29520,HTML
libpku,29488,TeX
REKCARC-TSC-UHT,29406,HTML
rxjs,29386,TypeScript
spring-boot-examples,29358,Java
phantomjs,29312,C++
vimrc,29298,Vim Script
dotfiles,29267,Shell
Awesome-Design-Tools,29266,JavaScript
react-boilerplate,29241,JavaScript
COVID-19,29230
es6features,29158
English-level-up-tips,29144,HTML
awesome-php,29111
cli,29085,Python
ccxt,29052,Python
NeteaseCloudMusicApi,29007,JavaScript
appsmith,28928,TypeScript
easyexcel,28888,Java
TrafficMonitor,28885,C++
project-guidelines,28874,JavaScript
lottie-web,28861,JavaScript
solid,28845,TypeScript
html2canvas,28753,TypeScript
run,28711
Hover,28708,SCSS
fd,28701,Rust
leakcanary,28681,Kotlin
Files,28671,C#
symfony,28651,PHP
halo,28615,Java
linux-insides,28588,Python
Coursera-ML-AndrewNg-Notes,28582,HTML
500lines,28542,JavaScript
photoprism,28528,Go
trpc,28502,TypeScript
standard,28478,JavaScript
fastify,28412,JavaScript
swc,28401,Rust
sequelize,28393,JavaScript
awesome-shell,28387
yew,28385,MDX
vault,28331,Go
learnGitBranching,28331,JavaScript
apollo,28328,Java
programmer-job-blacklist,28320,Shell
todomvc,28302,JavaScript
Python,28296,Python
vuex,28236,JavaScript
webtorrent,28220,JavaScript
fiber,28180,Go
DeepSpeed,28172,Python
android_guides,28170
slick,28073,JavaScript
backbone,28036,JavaScript
layui,28010,JavaScript
swift-algorithm-club,28009,Swift
sqlmap,27990,Python
slidev,27959,TypeScript
async,27928,JavaScript
openpose,27905,C++
clashX,27856,Swift
swr,27813,TypeScript
composer,27811,PHP
modern-unix,27800
slate,27791,TypeScript
interactive-coding-challenges,27782,Python
postcss,27777,TypeScript
awesome-macos-command-line,27775
cockroach,27726,Go
JavaScript,27716,JavaScript
selenium,27651,Java
calculator,27639,C++
algo,27592,Jinja
sway,27570,Rust
particles.js,27569,JavaScript
lapce,27516,Rust
vaultwarden,27465,Rust
nacos,27431,Java
ray,27415,Python
Sortable,27403,JavaScript
fairseq,27367,Python
zsh-autosuggestions,27268,Shell
uppy,27260,JavaScript
pytorch-tutorial,27238,Python
drone,27235,Go
HowToLiveLonger,27229
ChatGPT,27221,Python
minikube,27181,Go
druid,27179,Java
machine-learning-for-software-engineers,27171
jsPDF,27156,JavaScript
How-To-Ask-Questions-The-Smart-Way,27141,JavaScript
legacy-homebrew,27087
FastChat,27084,Python
OpenAPI-Specification,27050,JavaScript
nps,27044,Go
ClashForAndroid,27041,Kotlin
underscore,27040,JavaScript
spaCy,27025,Python
lighthouse,27003,JavaScript
JCSprout,26999,Java
Daily-Interview-Question,26987,JavaScript
hutool,26986,Java
streamlit,26974,Python
Charts,26968,Swift
lede,26949,C
weui,26919,HTML
awesome-python-cn,26896,Makefile
consul,26866,Go
cheerio,26828,TypeScript
AnotherRedisDesktopManager,26796,JavaScript
Faker,26759,PHP
mobx,26697,TypeScript
python-guide,26683,Batchfile
AI-Expert-Roadmap,26669,JavaScript
pytorch-image-models,26636,Python
stanford_alpaca,26636,Python
hangzhou_house_knowledge,26635,CSS
canal,26619,Java
chatgpt-web,26614,Vue
waifu2x,26587,Lua
floating-ui,26584,TypeScript
react-select,26549,TypeScript
echo,26515,Go
awesome-remote-job,26488
poetry,26484,Python
yapi,26473,JavaScript
portainer,26460,Go
ResumeSample,26383
spring-cloud-alibaba,26351,Java
react-spring,26293,TypeScript
vhr,26285,Java
gitflow,26274,Shell
django-rest-framework,26259,Python
linkedin-skill-assessments-quizzes,26259,Python
angular-cli,26258,TypeScript
nushell,26248,Rust
rethinkdb,26241,C++
mattermost,26240,TypeScript
etcher,26210,TypeScript
AgentGPT,26209,TypeScript
awesome-docker,26184
detectron2,26182,Python
bark,26182,Jupyter Notebook
sharp,26179,JavaScript
codemirror5,26145,JavaScript
nginxconfig.io,26139,JavaScript
SpringAll,26079,Java
influxdb,26064,Go
css-protips,26042
30-Days-Of-Python,26022,Python
folly,25988,C++
mongoose,25985,JavaScript
reverse-interview,25962
rocksdb,25958,C++
serenity,25943,C++
ace,25931,JavaScript
Detectron,25924,Python
jq,25891,C
RSSHub,25881,JavaScript
immer,25869,JavaScript
Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,25832,Jupyter Notebook
the-super-tiny-compiler,25815,JavaScript
gitbook,25794,JavaScript
fetch,25774,JavaScript
kafka,25768,Java
fabric.js,25698,JavaScript
bevy,25694,Rust
select2,25685,JavaScript
pocketbase,25670,Go
request,25640,JavaScript
awesome-compose,25619,HTML
tqdm,25618,Python
butterknife,25613,Java
C-Plus-Plus,25563,C++
nprogress,25545,JavaScript
data-science-ipython-notebooks,25533,Python
Modernizr,25530,JavaScript
os-tutorial,25525,C
handson-ml2,25511,Jupyter Notebook
nodemon,25503,JavaScript
remote-jobs,25499,JavaScript
MetaGPT,25452,Python
fastjson,25441,Java
mmdetection,25405,Python
vagrant,25403,Ruby
go-zero,25380,Go
kit,25376,Go
chinese-independent-developer,25345
pnpm,25312,TypeScript
react-virtualized,25291,JavaScript
ShareX,25253,C#
commander.js,25208,JavaScript
JavaScript30,25172,HTML
weekly,25170,JavaScript
the_silver_searcher,25166,C
python-fire,25153,Python
NewPipe,25141,Java
xxl-job,25116,Java
zig,25086,Zig
hacker-laws,25055,Shell
handson-ml,25039,Jupyter Notebook
cmder,25036,C++
Clone-Wars,25015
proxyee-down,25006,Java
jsoncrack.com,25002,TypeScript
fastText,24975,HTML
engineering-blogs,24961,Ruby
zod,24956,TypeScript
dokku,24936,Shell
YouCompleteMe,24927,Python
helm,24893,Go
toBeTopJavaer,24891,Java
fonts,24872,Shell
linux-command,24856,Markdown
logseq,24814,Clojure
nylas-mail,24762,JavaScript
docsify,24758,JavaScript
alpine,24758,HTML
modern-js-cheatsheet,24740
xstate,24711,TypeScript
applied-ml,24706
Ryujinx,24698,C#
awesome-deep-learning-papers,24695,TeX
ngx-admin,24685,TypeScript
YesPlayMusic,24681,Vue
SDWebImage,24666,Objective-C
Complete-Python-3-Bootcamp,24649,Jupyter Notebook
jellyfin,24631,C#
awesome-electron,24623
darknet,24575,C
lightning,24556,Python
xgboost,24539,C++
CheatSheetSeries,24536,Python
jax,24525,Python
remix,24524,TypeScript
rufus,24519,C
helix,24517,Rust
fastai,24446,Jupyter Notebook
EventBus,24434,Java
nanoGPT,24430,Python
Depix,24413,Python
numpy,24411,Python
daisyui,24397,Svelte
ink,24391,TypeScript
swagger-ui,24389,JavaScript
lottie-ios,24378,Swift
SmartRefreshLayout,24372,Java
k3s,24358,Go
Python-programming-exercises,24344
mongo,24338,C++
iris,24312,Go
tools,24308,Rust
tachiyomi,24306,Kotlin
termux-app,24302,Java
faiss,24285,C++
plyr,24281,JavaScript
aos,24275,JavaScript
eShopOnContainers,24270,C#
quasar,24199,JavaScript
ItChat,24197,Python
seata,24193,Java
emscripten,24186,C
OpenBBTerminal,24184,Python
editor.js,24172,TypeScript
novu,24119,TypeScript
pipenv,24104,Python
iview,23996,Vue
Signal-Android,23983,Java
angular-styleguide,23972
dnSpy,23963,C#
react-native-elements,23949,MDX
viper,23920,Go
fe-interview,23915,JavaScript
netron,23912,JavaScript
devtools,23892,TypeScript
discord.js,23890,TypeScript
rollup,23869,JavaScript
feather,23858,JavaScript
GitHubDaily,23848
professional-programming,23821,Python
Web,23806
redash,23787,Python
hosts,23785,Python
90DaysOfDevOps,23756,Shell
nsq,23748,Go
v2ray-core,23737,Go
BaseRecyclerViewAdapterHelper,23734,Kotlin
taichi,23711,C++
server,23707,PHP
pkg,23685,JavaScript
servo,23674
go,23663
react-three-fiber,23662,TypeScript
hammer.js,23656,JavaScript
mdb-ui-kit,23640,SCSS
components,23637,TypeScript
awesome-swift,23630,Ruby
Awesome,23598
Vundle.vim,23589,Vim Script
Hystrix,23585,Java
RxSwift,23547,Swift
croc,23482,Go
v2rayNG,23457,Kotlin
faas,23456,Go
iTerm2-Color-Schemes,23440,Shell
glances,23434,Python
mpv,23428,C
flutter-go,23408,Dart
Mask_RCNN,23387,Python
coder2gwy,23384
devise,23380,Ruby
spleeter,23378,Python
docz,23360,TypeScript
gitlabhq,23347,Ruby
eslint,23337,JavaScript
apollo,23311,C++
MonitorControl,23266,Swift
coc.nvim,23256,TypeScript
mediapipe,23243,C++
ramda,23223,JavaScript
ControlNet,23212,Python
Summer2024-Internships,23210
ngrok,23191,Go
spacemacs,23189,Emacs Lisp
logrus,23189,Go
expo,23185,TypeScript
PhotoSwipe,23166,JavaScript
leetcode,23152,Java
vapor,23149,Swift
Wox,23146,C#
awesome-sysadmin,23141
pure,23133,JavaScript
backstage,23098,TypeScript
aseprite,23097,C++
cascadia-code,23094,Python
idiomatic.js,23088
stb,23045,C
awesome-vscode,23026,JavaScript
directus,23025,TypeScript
streisand,23024,Shell
text-generation-webui,23023,Python
penpot,22979,Clojure
python-telegram-bot,22978,Python
architecture-components-samples,22977,Kotlin
CodeHub,22960,C#
react-redux,22958,TypeScript
DeepSpeech,22952,C++
cal.com,22945,TypeScript
NativeScript,22922,TypeScript
autocomplete,22920,TypeScript
algorithms,22917,Python
awesome-piracy,22911,HTML
openzeppelin-contracts,22906,JavaScript
core-js,22903,JavaScript
docker_practice,22863,Go
freqtrade,22848,Python
react-admin,22834,TypeScript
localForage,22771,JavaScript
whisper.cpp,22751,C
go-patterns,22747,Go
copilot-docs,22707
react-navigation,22706,TypeScript
milvus,22692,Go
turbo,22691,Rust
mostly-adequate-guide,22689,JavaScript
envoy,22663,C++
guzzle,22661,PHP
Real-ESRGAN,22655,Python
sails,22637,JavaScript
exa,22629,Rust
micro,22623,Go
setup-ipsec-vpn,22608,Shell
openssl,22588,C
Telegram,22563,Java
RevokeMsgPatcher,22560,C#
awesome-actions,22554
srs,22545,C++
tdesktop,22534,C++
hub,22530,Go
trilium,22526,JavaScript
octotree,22514,JavaScript
30-Days-Of-React,22482,JavaScript
draft-js,22481,JavaScript
redux-saga,22472,JavaScript
firecracker,22457,Rust
ember.js,22448,JavaScript
blog,22447
Data-Science-For-Beginners,22437,Jupyter Notebook
CyberChef,22425,JavaScript
gson,22383,Java
table,22378,TypeScript
ML-From-Scratch,22362,Python
flv.js,22352,JavaScript
skywalking,22347,Java
MiniGPT-4,22335,Python
quivr,22331,TypeScript
homebridge,22325,TypeScript
sweetalert,22294,TypeScript
react-redux-links,22259
ipfs,22257
wepy,22254,JavaScript
RedisDesktopManager,22248,C++
fish-shell,22201,C++
wttr.in,22197,Python
tuning_playbook,22180
mocha,22177,JavaScript
surrealdb,22175,Rust
intro.js,22172,TypeScript
Rectangle,22164,Swift
algo,22156,Python
github1s,22149,TypeScript
celery,22132,Python
k9s,22125,Go
SwiftyJSON,22118,Swift
javascript-testing-best-practices,22105,JavaScript
libuv,22103,C
react-starter-kit,22102,TypeScript
locust,22086,Python
headlessui,22043,TypeScript
AFFiNE,22038,TypeScript
howler.js,22033,JavaScript
elixir,22026,Elixir
pumpkin-book,22017
flow,22012,OCaml
awesome-falsehood,22004
highlight.js,21986,JavaScript
tokio,21977,Rust
jumpserver,21970,Python
lux,21966,Go
polymer,21956,HTML
chosen,21955,HTML
notable,21917
react-bootstrap,21910,TypeScript
flink,21906,Java
windows95,21903,TypeScript
vant,21878,TypeScript
libgdx,21877,Java
NLP-progress,21874,Python
vuepress,21863,JavaScript
dapr,21837,Go
qBittorrent,21813,C++
vegeta,21803,Go
electron-react-boilerplate,21799,TypeScript
awesome-datascience,21787
iosched,21765,Kotlin
wiki,21758,Vue
JARVIS,21752,Python
passport,21752,JavaScript
pytudes,21751,Jupyter Notebook
WaveFunctionCollapse,21748,C#
api-guidelines,21742
scrollreveal,21725,JavaScript
homemade-machine-learning,21718,Jupyter Notebook
redisson,21709,Java
dracula-theme,21708
awesome-cto,21707
TDengine,21707,C
validator.js,21691,JavaScript
vnpy,21679,Python
bitcoinbook,21670,AsciiDoc
refined-github,21666,TypeScript
spacedrive,21665,Rust
v8,21637,C++
dragula,21630,JavaScript
docker-cheat-sheet,21617
gfwlist,21603
gradio,21602,Python
flameshot,21596,C++
modern-cpp-tutorial,21580,C++
nanoid,21567,JavaScript
Kingfisher,21567,Swift
masscan,21563,C
react-motion,21549,JavaScript
llvm-project,21537
Hero,21535,Swift
rancher,21513,Go
vscodium,21502,Shell
awesome-deep-learning,21501
