Repository,Stars,Total Releases
awesome-machine-learning,59944,0
redux,59882,74
the-algorithm,59774,0
stable-diffusion,59730,0
atom,59585,538
cs-video-courses,59576,0
vite,59365,326
nest,59351,89
keras,59140,51
markdown-here,59136,11
angular.js,59092,0
socket.io,58900,59
github-readme-stats,58771,0
ansible,58467,33
architect-awesome,58431,0
awesome-react,57906,0
Front-end-Developer-Interview-Questions,57788,0
jquery,57788,8
devops-exercises,57688,0
33-js-concepts,57526,0
nocode,57520,1
awesome-interview-questions,57245,0
lodash,57113,2
grafana,56974,381
shadowsocks-windows,56929,55
funNLP,56488,0
supabase,56330,28
echarts,56244,111
awesome-for-beginners,56081,0
javascript-questions,56009,0
strapi,55851,298
awesome-public-datasets,55779,1
HowToCook,55730,1
scikit-learn,55629,34
cpython,55557,0
Apollo-11,55389,0
yt-dlp,55383,72
html5-boilerplate,55206,32
gatsby,54707,133
playwright,54530,111
excalidraw,54320,9
hoppscotch,54223,26
fzf,54164,30
syncthing,54110,341
superset,54059,141
element,53644,145
rails,53438,102
Java,53424,0
ML-For-Beginners,53408,0
manim,53209,10
tesseract,53112,26
design-resources-for-developers,53093,0
spring-framework,53031,265
awesome-nodejs,52639,0
Ventoy,52494,93
leetcode,52328,40
Best-websites-a-programmer-should-visit,52023,0
gpt4all,51796,0
DeepLearning-500-questions,51465,0
react-router,50936,255
normalize.css,50882,0
Semantic-UI,50740,154
PayloadsAllTheThings,50358,2
tabby,50339,178
requests,50170,8
obs-studio,50057,186
imgui,50054,89
prometheus,49752,269
caddy,49519,110
ionic-framework,49489,734
face_recognition,49244,2
awesome-courses,48996,0
awesome-cpp,48735,0
SecLists,48675,21
material-design-icons,48564,16
alacritty,48461,84
scrapy,48363,34
localstack,48346,65
awesome-flutter,48324,0
guava,48228,40
awesome-scalability,48170,0
you-get,48100,118
moment,47530,0
bulma,47478,17
openai-cookbook,47444,0
docusaurus,47424,128
nuxt,47301,196
git,47248,0
awesome-android-ui,47239,0
RxJava,47209,232
jekyll,47187,107
anime,46974,14
faceswap,46933,4
d2l-zh,46816,16
v2rayN,46796,159
hacker-scripts,46758,0
rustdesk,46589,11
prettier,46549,104
clash,46383,55
new-pac,46381,0
nerd-fonts,46142,32
kotlin,45666,208
tldr,45346,2
big-list-of-naughty-strings,45149,0
DefinitelyTyped,45129,1
serverless,45126,367
cypress,44856,316
chinese-poetry,44699,1
gpt4free,44640,7
rich,44592,157
Real-Time-Voice-Cloning,44572,0
traefik,44509,397
learn-regex,44480,0
okhttp,44437,0
etcd,44399,225
whisper,44215,6
algorithm-visualizer,44204,0
dayjs,44009,115
Ghost,43928,702
mastodon,43848,210
awesome-ios,43833,0
pdf.js,43723,55
bun,43715,92
meteor,43705,0
go-ethereum,43553,175
awesome-chatgpt-prompts-zh,43414,0
pi-hole,43288,100
architecture-samples,43106,0
julia,43090,145
sherlock,43079,0
v2ray-core,43059,247
TensorFlow-Examples,42925,0
act,42893,58
AdminLTE,42890,72
gogs,42863,78
Projects,42850,0
bat,42832,39
gpt-engineer,42737,8
parcel,42665,29
ChatGPT-Next-Web,42664,45
jest,42633,195
drawio-desktop,42533,114
babel,42521,366
ghidra,42470,30
mkcert,42457,14
DeepFaceLab,42333,2
build-web-application-with-golang,42296,0
github-cheat-sheet,42283,0
react,42112,0
awesome-wechat-weapp,41970,0
retrofit,41955,0
design-patterns-for-humans,41786,0
100-Days-Of-ML-Code,41740,0
leetcode-master,41684,0
project-layout,41612,0
rustlings,41556,38
Microsoft-Activation-Scripts,41537,7
x64dbg,41524,3
openpilot,41473,52
hyper,41441,88
yolov5,41334,10
yarn,41261,150
marktext,41254,36
git-flight-rules,41243,0
trackerslist,41159,0
llama,41102,0
pixijs,40833,206
ChatGPT,40818,34
bypass-paywalls-chrome,40801,33
gpt_academic,40799,22
minio,40674,417
PowerShell,40490,146
vue2-elm,40332,0
llama.cpp,40166,739
rclone,40108,95
core,40045,156
Motrix,40023,21
ripgrep,39843,66
nw.js,39812,0
Alamofire,39712,96
pandas,39632,100
pm2,39608,120
PythonDataScienceHandbook,39474,0
styled-components,39461,154
dubbo,39336,88
huginn,39208,1
frontend-dev-bookmarks,39063,1
grpc,38871,266
materialize,38838,41
CppCoreGuidelines,38772,4
terraform,38737,262
discourse,38696,0
meilisearch,38668,150
lazygit,38571,148
uni-app,38565,0
hiring-without-whiteboards,38421,0
joplin,38401,300
zx,38380,58
powerlevel10k,38353,32
Leaflet,38327,31
AppFlowy,38283,43
gitea,38202,174
30-Days-Of-JavaScript,38202,0
FFmpeg,38201,0
dive,38184,25
front-end-interview-handbook,38164,0
edex-ui,38137,29
segment-anything,38039,0
python-patterns,38016,0
uptime-kuma,37998,91
react-use,37972,249
vuetify,37896,499
Magisk,37771,130
nocodb,37664,115
awesome-java,37551,0
fastlane,37496,533
first-contributions,37464,0
hexo,37371,109
impress.js,37317,15
uBlock,37262,288
what-happens-when,37222,0
privateGPT,37219,0
awesome-react-components,37015,0
brew,36972,326
hackingtool,36932,0
Rocket.Chat,36903,813
quill,36872,82
awesome-rust,36790,0
MPAndroidChart,36781,44
open-source-mac-os-apps,36690,0
spark,36635,0
react-hook-form,36627,532
freecodecamp.cn,36498,0
kubernetes-the-hard-way,36409,0
json,36372,43
ailearning,36308,2
swiper,36300,52
open-source-ios-apps,36261,37
Deep-Learning-Papers-Reading-Roadmap,36215,0
starship,36180,122
type-challenges,36160,0
query,36157,648
video.js,36138,292
jadx,36035,28
weekly,35977,0
php-src,35961,0
esbuild,35940,266
cheat.sh,35918,0
kong,35841,132
drawio,35777,761
jeecg-boot,35743,29
annotated_deep_learning_paper_implementations,35579,0
monaco-editor,35469,0
slate,35432,28
Prompt-Engineering-Guide,35408,0
styleguide,35349,0
interview_internal_reference,35340,0
tabler,35278,42
bert,35187,0
phaser,35147,140
wrk,35121,0
Open-Assistant,35055,124
sentry,35049,112
preact,34973,189
lerna,34900,221
ant-design-pro,34826,26
tutorials,34824,0
zustand,34786,72
tidb,34772,176
fullPage.js,34715,88
pure-bash-bible,34704,0
node-v0.x-archive,34534,0
awesome-cheatsheets,34499,0
og-aws,34477,0
astro,34433,1426
v,34386,167
JavaFamily,34371,0
iina,34370,42
koa,34318,0
hackathon-starter,34316,15
chakra-ui,34266,3158
lottie-android,34212,46
nativefier,34185,99
wtfpython,34174,2
deeplearningbook-chinese,34141,7
Made-With-ML,34067,0
TaskMatrix,34013,0
shadowsocks-android,33956,184
metabase,33946,390
ChatGLM-6B,33936,0
glide,33884,46
manifesto,33713,0
prisma,33662,164
istio,33607,307
dbeaver,33594,183
cs-self-learning,33542,3
caffe,33539,14
taro,33509,155
sheetjs,33485,0
gorm,33478,2
leveldb,33476,21
black,33473,28
clipboard.js,33440,42
shadowsocks,33433,2
the-way-to-go_ZH_CN,33422,0
brackets,33394,69
zju-icicles,33380,0
n8n,33361,77
AFNetworking,33355,40
python-cheatsheet,33301,0
awesome-react-native,33273,0
arthas,33268,51
free,33251,0
cobra,33246,20
pyenv,33217,81
cli,33170,133
carbon,33153,215
955.WLB,33116,0
appwrite,33005,66
PaddleOCR,32983,6
acme.sh,32981,40
shellcheck,32933,28
DragGAN,32814,0
gulp,32794,22
formik,32792,190
gold-miner,32723,0
hello-algorithm,32713,0
immutable-js,32674,75
gym,32658,19
CPlusPlusThings,32624,0
vim,32532,0
aspnetcore,32525,192
AndroidUtilCode,32438,117
ColossalAI,32412,32
devdocs,32261,0
date-fns,32239,106
material-design-lite,32203,14
mitmproxy,32185,49
XX-Net,32152,380
awesome-design-patterns,32049,0
GFPGAN,32025,8
typeorm,32022,29
vim-plug,31908,5
netty,31765,0
ShadowsocksX-NG,31707,29
wtfjs,31701,25
fanqiang,31626,2
ijkplayer,31625,0
reactjs-interview-questions,31614,0
airflow,31574,69
zxing,31451,30
Docker-OSX,31440,0
tesseract.js,31414,45
android-open-project,31291,0
aria2,31271,23
awesome-javascript,31251,0
12306,31225,1
jieba,31175,9
curl,31132,72
metasploit-framework,31098,0
diagrams,31096,39
carbon-lang,31058,0
jQuery-File-Upload,31016,0
react-beautiful-dnd,30803,68
MockingBird,30784,1
googletest,30711,7
google-research,30698,0
yuzu,30580,0
ClickHouse,30558,490
awesome-awesomeness,30537,0
odoo,30497,0
insomnia,30492,372
50projects50days,30486,0
LeetCode-Go,30470,4
lx-music-desktop,30445,101
marked,30419,108
compose,30403,204
spring-boot-demo,30384,0
lazydocker,30336,37
tmux,30235,34
interview,30231,0
nvm-windows,30217,19
certbot,30198,43
husky,30157,60
beego,30157,23
HanLP,30147,57
framework,30131,651
graphql-engine,30112,230
ui,29949,10
Blog,29878,0
alist,29875,102
ImHex,29864,58
pandoc,29864,124
HEAD,29747,0
vue-cli,29713,177
stablediffusion,29575,0
p3c,29563,0
foundation-sites,29520,78
libpku,29488,0
REKCARC-TSC-UHT,29406,0
rxjs,29386,0
spring-boot-examples,29358,0
phantomjs,29312,0
vimrc,29298,0
dotfiles,29267,0
Awesome-Design-Tools,29266,0
react-boilerplate,29241,16
COVID-19,29230,0
es6features,29158,0
English-level-up-tips,29144,0
awesome-php,29111,0
cli,29085,45
ccxt,29051,1
NeteaseCloudMusicApi,29007,178
appsmith,28927,182
easyexcel,28888,8
TrafficMonitor,28885,24
project-guidelines,28874,0
lottie-web,28861,0
solid,28845,33
html2canvas,28753,45
run,28711,0
Hover,28708,10
fd,28701,35
leakcanary,28681,33
Files,28671,96
symfony,28651,446
halo,28615,133
linux-insides,28588,0
Coursera-ML-AndrewNg-Notes,28582,0
500lines,28542,0
photoprism,28528,61
trpc,28501,178
standard,28478,5
fastify,28412,266
swc,28401,266
sequelize,28393,454
awesome-shell,28387,0
yew,28383,33
vault,28332,104
learnGitBranching,28331,0
apollo,28328,38
programmer-job-blacklist,28320,0
todomvc,28302,5
Python,28296,0
vuex,28236,51
webtorrent,28220,152
fiber,28178,111
DeepSpeed,28172,54
android_guides,28170,0
slick,28073,48
backbone,28036,0
layui,28010,96
swift-algorithm-club,28009,0
sqlmap,27990,8
slidev,27959,253
async,27928,7
openpose,27903,15
clashX,27856,37
swr,27813,108
composer,27810,184
modern-unix,27800,0
slate,27791,147
interactive-coding-challenges,27782,0
postcss,27777,241
awesome-macos-command-line,27775,0
cockroach,27725,0
JavaScript,27714,0
selenium,27651,85
calculator,27639,0
algo,27592,2
sway,27571,115
particles.js,27569,6
lapce,27515,26
vaultwarden,27465,51
nacos,27431,58
ray,27415,71
Sortable,27403,24
fairseq,27367,16
zsh-autosuggestions,27268,0
uppy,27260,64
pytorch-tutorial,27238,0
drone,27235,29
HowToLiveLonger,27229,0
ChatGPT,27221,277
minikube,27180,143
druid,27179,48
machine-learning-for-software-engineers,27171,0
jsPDF,27156,32
How-To-Ask-Questions-The-Smart-Way,27141,0
legacy-homebrew,27087,0
FastChat,27084,7
OpenAPI-Specification,27050,10
nps,27044,59
ClashForAndroid,27041,90
underscore,27040,0
spaCy,27025,118
lighthouse,27003,101
JCSprout,26999,0
Daily-Interview-Question,26987,0
hutool,26986,134
streamlit,26974,63
Charts,26968,37
lede,26949,6
weui,26919,42
awesome-python-cn,26896,0
consul,26866,146
cheerio,26828,57
AnotherRedisDesktopManager,26796,45
Faker,26759,12
mobx,26697,92
python-guide,26683,0
AI-Expert-Roadmap,26669,0
pytorch-image-models,26636,49
stanford_alpaca,26636,0
hangzhou_house_knowledge,26635,0
canal,26619,26
chatgpt-web,26614,42
waifu2x,26587,3
floating-ui,26584,354
react-select,26549,50
echo,26514,100
awesome-remote-job,26488,0
poetry,26484,127
yapi,26473,1
portainer,26460,107
ResumeSample,26383,0
spring-cloud-alibaba,26351,35
react-spring,26293,48
vhr,26285,0
gitflow,26274,0
django-rest-framework,26259,17
angular-cli,26258,628
linkedin-skill-assessments-quizzes,26257,1
nushell,26248,78
rethinkdb,26241,71
mattermost,26240,380
etcher,26210,260
AgentGPT,26208,11
awesome-docker,26184,1
detectron2,26182,10
bark,26182,0
sharp,26179,61
codemirror5,26145,170
nginxconfig.io,26139,0
SpringAll,26079,0
influxdb,26064,78
css-protips,26042,0
30-Days-Of-Python,26022,0
folly,25988,151
mongoose,25985,104
reverse-interview,25962,0
rocksdb,25957,176
serenity,25942,0
ace,25931,50
Detectron,25924,0
jq,25890,11
RSSHub,25881,226
immer,25869,105
Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,25832,0
the-super-tiny-compiler,25815,0
gitbook,25794,0
fetch,25774,54
kafka,25767,0
fabric.js,25698,131
bevy,25694,17
select2,25685,29
pocketbase,25670,93
request,25640,0
awesome-compose,25619,0
tqdm,25618,124
butterknife,25613,0
C-Plus-Plus,25563,0
nprogress,25545,7
data-science-ipython-notebooks,25533,0
Modernizr,25530,25
os-tutorial,25524,0
handson-ml2,25511,0
nodemon,25503,90
remote-jobs,25499,0
MetaGPT,25451,2
fastjson,25441,84
mmdetection,25405,51
vagrant,25403,76
go-zero,25380,93
kit,25375,13
chinese-independent-developer,25345,0
pnpm,25312,875
react-virtualized,25291,5
ShareX,25253,76
commander.js,25208,74
JavaScript30,25171,0
weekly,25170,185
the_silver_searcher,25166,0
python-fire,25153,9
NewPipe,25141,126
xxl-job,25116,32
zig,25086,15
hacker-laws,25055,1
handson-ml,25039,0
cmder,25036,33
Clone-Wars,25015,0
proxyee-down,25006,49
jsoncrack.com,25002,19
fastText,24975,4
engineering-blogs,24961,0
zod,24956,77
dokku,24936,249
YouCompleteMe,24927,0
helm,24893,177
toBeTopJavaer,24891,0
fonts,24872,1
linux-command,24856,26
logseq,24814,133
nylas-mail,24762,53
docsify,24758,14
alpine,24758,117
modern-js-cheatsheet,24740,0
xstate,24711,255
applied-ml,24706,0
Ryujinx,24698,0
awesome-deep-learning-papers,24695,0
ngx-admin,24685,18
YesPlayMusic,24681,27
SDWebImage,24666,130
Complete-Python-3-Bootcamp,24649,0
jellyfin,24630,63
awesome-electron,24623,0
darknet,24575,0
lightning,24556,140
xgboost,24539,52
CheatSheetSeries,24536,0
jax,24525,81
remix,24524,120
rufus,24519,77
helix,24517,23
fastai,24446,49
EventBus,24434,7
nanoGPT,24429,0
Depix,24413,0
numpy,24411,103
daisyui,24397,0
ink,24391,49
swagger-ui,24389,294
lottie-ios,24378,58
SmartRefreshLayout,24372,11
k3s,24358,589
Python-programming-exercises,24344,0
mongo,24338,0
iris,24312,17
tools,24308,117
tachiyomi,24304,75
termux-app,24302,89
faiss,24285,15
plyr,24280,88
aos,24275,0
eShopOnContainers,24270,11
quasar,24199,805
ItChat,24197,13
seata,24193,37
emscripten,24186,0
OpenBBTerminal,24184,28
editor.js,24171,57
novu,24117,30
pipenv,24104,90
iview,23996,85
Signal-Android,23983,0
angular-styleguide,23972,0
dnSpy,23963,1
react-native-elements,23949,85
viper,23920,23
fe-interview,23915,2
netron,23912,4
devtools,23892,84
discord.js,23890,198
rollup,23869,418
feather,23858,52
GitHubDaily,23848,0
professional-programming,23821,0
Web,23805,0
redash,23787,98
hosts,23786,571
90DaysOfDevOps,23756,2
nsq,23748,30
v2ray-core,23736,69
BaseRecyclerViewAdapterHelper,23734,202
taichi,23711,113
server,23707,147
pkg,23684,41
servo,23674,0
go,23663,0
react-three-fiber,23662,69
hammer.js,23656,0
mdb-ui-kit,23640,31
components,23637,401
awesome-swift,23630,0
Awesome,23598,0
Vundle.vim,23589,0
Hystrix,23585,79
RxSwift,23547,72
croc,23482,140
v2rayNG,23457,155
faas,23456,3
iTerm2-Color-Schemes,23440,0
glances,23434,34
mpv,23428,83
flutter-go,23408,4
Mask_RCNN,23387,3
coder2gwy,23384,0
devise,23380,19
spleeter,23378,2
docz,23360,127
gitlabhq,23347,0
eslint,23337,300
apollo,23311,11
MonitorControl,23266,23
coc.nvim,23256,82
mediapipe,23243,47
ramda,23223,27
ControlNet,23212,0
Summer2024-Internships,23206,0
ngrok,23191,0
spacemacs,23189,158
logrus,23189,19
expo,23185,8
PhotoSwipe,23166,19
leetcode,23152,19
vapor,23149,496
Wox,23146,38
awesome-sysadmin,23141,0
pure,23133,27
backstage,23098,259
aseprite,23097,91
cascadia-code,23094,17
idiomatic.js,23088,0
stb,23044,0
awesome-vscode,23026,0
directus,23023,275
streisand,23023,0
text-generation-webui,23022,9
penpot,22979,36
python-telegram-bot,22978,106
architecture-components-samples,22977,0
CodeHub,22960,4
react-redux,22958,121
DeepSpeech,22952,105
cal.com,22944,170
NativeScript,22921,144
autocomplete,22920,1373
algorithms,22917,1
awesome-piracy,22910,0
openzeppelin-contracts,22906,79
core-js,22903,228
docker_practice,22863,15
freqtrade,22848,75
react-admin,22833,305
localForage,22771,26
whisper.cpp,22750,7
go-patterns,22747,0
copilot-docs,22707,0
react-navigation,22706,1344
milvus,22692,352
turbo,22690,267
mostly-adequate-guide,22689,1
envoy,22663,136
guzzle,22661,61
Real-ESRGAN,22655,10
sails,22637,42
exa,22628,12
micro,22622,34
setup-ipsec-vpn,22608,0
openssl,22588,12
Telegram,22563,81
RevokeMsgPatcher,22560,16
awesome-actions,22554,0
srs,22545,52
tdesktop,22534,639
hub,22530,60
trilium,22526,273
octotree,22514,0
30-Days-Of-React,22482,0
draft-js,22481,26
redux-saga,22472,70
firecracker,22457,66
ember.js,22448,503
blog,22447,0
Data-Science-For-Beginners,22437,0
CyberChef,22425,427
gson,22383,6
table,22378,203
ML-From-Scratch,22362,0
flv.js,22352,15
skywalking,22347,57
MiniGPT-4,22335,0
quivr,22331,68
homebridge,22325,34
sweetalert,22294,13
react-redux-links,22259,0
ipfs,22257,0
wepy,22254,8
RedisDesktopManager,22248,87
fish-shell,22200,39
wttr.in,22197,0
tuning_playbook,22180,0
mocha,22177,76
surrealdb,22174,13
intro.js,22172,36
Rectangle,22164,74
algo,22156,0
github1s,22149,40
celery,22132,43
k9s,22125,195
SwiftyJSON,22118,21
javascript-testing-best-practices,22105,0
libuv,22103,7
react-starter-kit,22102,5
locust,22086,94
headlessui,22043,88
AFFiNE,22037,168
howler.js,22033,24
elixir,22026,138
pumpkin-book,22017,7
flow,22013,311
awesome-falsehood,22004,0
highlight.js,21986,36
tokio,21976,105
jumpserver,21970,191
lux,21966,80
polymer,21956,115
chosen,21955,34
notable,21917,20
react-bootstrap,21910,55
flink,21906,0
windows95,21903,14
vant,21878,241
libgdx,21877,10
NLP-progress,21874,3
vuepress,21863,22
dapr,21837,192
qBittorrent,21813,0
vegeta,21803,66
electron-react-boilerplate,21799,58
awesome-datascience,21787,5
iosched,21765,2
wiki,21758,115
JARVIS,21752,0
passport,21752,0
pytudes,21751,0
WaveFunctionCollapse,21748,1
api-guidelines,21742,0
scrollreveal,21725,0
homemade-machine-learning,21717,0
redisson,21709,132
dracula-theme,21708,24
awesome-cto,21707,0
TDengine,21707,104
validator.js,21691,11
vnpy,21679,56
bitcoinbook,21670,3
refined-github,21666,118
spacedrive,21665,0
v8,21637,0
dragula,21629,0
docker-cheat-sheet,21617,0
gfwlist,21603,0
gradio,21602,139
flameshot,21596,25
modern-cpp-tutorial,21580,3
nanoid,21567,1
Kingfisher,21567,178
masscan,21563,11
react-motion,21549,4
llvm-project,21536,90
Hero,21535,38
rancher,21513,980
vscodium,21502,157
awesome-deep-learning,21501,0
