Repository,Stars,Last Update (seconds)
styled-components,39462,80311
dubbo,39336,17559
huginn,39208,83610
frontend-dev-bookmarks,39062,77555
grpc,38870,78115
materialize,38838,29666
CppCoreGuidelines,38772,2
terraform,38736,79119
discourse,38696,9046
meilisearch,38668,7132
lazygit,38573,76111
uni-app,38565,37158
ripgrep,39844,77498
nw.js,39812,12587
Alamofire,39712,80598
pandas,39634,76694
pm2,39608,83419
PythonDataScienceHandbook,39475,78553
styled-components,39462,80314
dubbo,39336,17562
huginn,39208,83613
frontend-dev-bookmarks,39062,77558
grpc,38870,78118
materialize,38838,29669
CppCoreGuidelines,38772,5
terraform,38736,79122
discourse,38696,9049
meilisearch,38668,7135
lazygit,38573,76114
uni-app,38565,37161
hiring-without-whiteboards,38421,85430
joplin,38404,76013
zx,38381,77928
powerlevel10k,38354,80222
Leaflet,38329,76397
AppFlowy,38285,76283
30-Days-Of-JavaScript,38205,75689
gitea,38204,77201
FFmpeg,38202,78519
dive,38186,78754
front-end-interview-handbook,38164,80855
edex-ui,38137,1317
segment-anything,38041,75804
python-patterns,38016,3467
uptime-kuma,38000,75805
react-use,37974,79745
vuetify,37896,17235
Magisk,37772,80028
nocodb,37664,84804
awesome-java,37551,84239
fastlane,37496,31302
first-contributions,37463,76364
hexo,37371,80887
impress.js,37317,82722
uBlock,37262,83530
what-happens-when,37223,76098
privateGPT,37222,75658
awesome-react-components,37015,80905
brew,36974,78099
hackingtool,36932,82055
Rocket.Chat,36903,86126
quill,36872,1680
awesome-rust,36790,82064
MPAndroidChart,36781,27758
open-source-mac-os-apps,36690,82186
spark,36635,83952
react-hook-form,36628,77990
freecodecamp.cn,36498,10554
kubernetes-the-hard-way,36411,78513
json,36374,76205
ailearning,36308,9123
swiper,36302,77971
open-source-ios-apps,36261,1174
Deep-Learning-Papers-Reading-Roadmap,36215,4445
starship,36182,75893
type-challenges,36160,84647
query,36158,79544
video.js,36138,281
jadx,36035,10826
weekly,35978,80214
php-src,35962,78889
esbuild,35940,8102
cheat.sh,35918,82657
kong,35841,2577
drawio,35777,81393
jeecg-boot,35743,22218
annotated_deep_learning_paper_implementations,35580,79330
monaco-editor,35470,78404
slate,35432,36250
Prompt-Engineering-Guide,35408,83603
styleguide,35350,80282
interview_internal_reference,35340,3994
tabler,35279,79095
bert,35187,17116
phaser,35147,84483
wrk,35121,85552
Open-Assistant,35055,84528
sentry,35049,81360
preact,34973,38735
lerna,34900,14056
ant-design-pro,34826,11114
tutorials,34824,13963
zustand,34788,78181
tidb,34772,12162
fullPage.js,34715,17410
pure-bash-bible,34704,5575
node-v0.x-archive,34534,37378
awesome-cheatsheets,34499,3728
og-aws,34477,7234
astro,34434,77467
v,34387,80291
JavaFamily,34371,13331
iina,34370,80511
koa,34318,29728
hackathon-starter,34316,85331
chakra-ui,34266,83427
lottie-android,34212,13091
nativefier,34185,103
wtfpython,34175,80197
deeplearningbook-chinese,34141,902
Made-With-ML,34067,6772
TaskMatrix,34013,81374
shadowsocks-android,33956,3678
metabase,33948,79166
ChatGLM-6B,33936,9862
glide,33884,81019
manifesto,33729,75787
prisma,33663,78705
istio,33607,18071
dbeaver,33594,82246
cs-self-learning,33542,8873
caffe,33539,9622
taro,33509,12061
sheetjs,33485,7112
gorm,33479,79612
black,33476,75893
leveldb,33476,84551
clipboard.js,33440,12203
shadowsocks,33433,82192
the-way-to-go_ZH_CN,33422,11050
brackets,33394,25788
zju-icicles,33380,1246
n8n,33364,75822
AFNetworking,33355,2548
python-cheatsheet,33301,85499
awesome-react-native,33272,76343
arthas,33268,14120
free,33252,75815
cobra,33248,78470
pyenv,33217,82191
cli,33169,78057
carbon,33153,22962
955.WLB,33116,3455
appwrite,33004,80300
PaddleOCR,32983,11603
acme.sh,32981,83542
shellcheck,32933,80758
DragGAN,32814,85922
gulp,32795,77420
formik,32792,136
gold-miner,32723,28966
hello-algorithm,32713,10921
immutable-js,32674,1161
gym,32658,24962
CPlusPlusThings,32624,7910
vim,32533,77072
aspnetcore,32524,75893
AndroidUtilCode,32438,4352
ColossalAI,32415,75776
devdocs,32261,4156
date-fns,32239,83944
material-design-lite,32203,19090
mitmproxy,32185,83430
XX-Net,32152,14752
awesome-design-patterns,32049,81677
GFPGAN,32026,79751
