Repository,Stars,% of Closed Issues
chakra-ui,34266,0.95
lottie-android,34212,0.98
nativefier,34185,0.79
wtfpython,34175,0.67
deeplearningbook-chinese,34141,0.69
Made-With-ML,34067,1.00
TaskMatrix,34013,0.39
shadowsocks-android,33956,0.98
metabase,33948,0.80
ChatGLM-6B,33936,0.60
glide,33884,0.90
manifesto,33720,0.47
prisma,33663,0.70
istio,33607,0.97
dbeaver,33594,0.88
cs-self-learning,33542,0.50
caffe,33539,0.81
taro,33509,0.90
sheetjs,33485,0.95
gorm,33479,0.95
leveldb,33476,0.72
black,33474,0.85
clipboard.js,33440,0.99
shadowsocks,33433,0.00
the-way-to-go_ZH_CN,33422,0.00
brackets,33394,0.73
zju-icicles,33380,0.89
n8n,33363,0.92
AFNetworking,33355,0.00
python-cheatsheet,33301,0.89
awesome-react-native,33273,0.51
arthas,33268,0.87
free,33251,0.30
cobra,33248,0.85
pyenv,33217,0.98
cli,33169,0.89
carbon,33153,0.92
955.WLB,33116,0.30
appwrite,33004,0.84
PaddleOCR,32983,0.91
acme.sh,32981,0.69
shellcheck,32933,0.63
DragGAN,32814,0.26
gulp,32794,0.99
formik,32792,0.70
gold-miner,32723,1.00
hello-algorithm,32713,0.82
immutable-js,32674,0.92
gym,32658,0.96
CPlusPlusThings,32624,0.99
vim,32532,0.82
aspnetcore,32525,0.91
AndroidUtilCode,32438,0.83
ColossalAI,32414,0.80
devdocs,32261,0.88
date-fns,32239,0.72
material-design-lite,32203,0.83
mitmproxy,32185,0.91
XX-Net,32152,0.40
awesome-design-patterns,32049,0.36
GFPGAN,32026,0.31
typeorm,32022,0.73
vim-plug,31908,0.89
netty,31765,0.91
ShadowsocksX-NG,31707,0.78
wtfjs,31702,0.90
fanqiang,31626,0.60
ijkplayer,31625,0.48
reactjs-interview-questions,31614,0.92
airflow,31575,0.91
zxing,31452,1.00
Docker-OSX,31441,0.46
tesseract.js,31414,0.98
android-open-project,31291,0.84
aria2,31271,0.45
awesome-javascript,31251,0.98
12306,31225,0.68
jieba,31175,0.26
curl,31133,0.99
metasploit-framework,31098,0.93
diagrams,31096,0.40
carbon-lang,31059,0.75
jQuery-File-Upload,31016,0.99
react-beautiful-dnd,30803,0.67
MockingBird,30784,0.48
googletest,30711,0.88
google-research,30698,0.27
yuzu,30580,0.70
ClickHouse,30558,0.82
awesome-awesomeness,30537,0.81
odoo,30497,0.87
insomnia,30493,0.82
50projects50days,30487,0.00
LeetCode-Go,30470,0.81
lx-music-desktop,30445,0.72
marked,30418,0.98
compose,30403,0.97
spring-boot-demo,30384,0.45
lazydocker,30336,0.63
tmux,30235,0.99
interview,30231,0.71
nvm-windows,30217,0.91
certbot,30198,0.96
husky,30157,0.97
beego,30157,1.00
HanLP,30147,0.99
framework,30131,1.00
graphql-engine,30111,0.65
ui,29951,0.37
Blog,29878,0.32
alist,29875,0.97
ImHex,29864,0.80
pandoc,29864,0.87
HEAD,29747,0.80
vue-cli,29713,0.83
stablediffusion,29575,0.26
p3c,29563,0.83
foundation-sites,29520,0.99
libpku,29488,0.76
REKCARC-TSC-UHT,29406,0.96
rxjs,29386,0.93
spring-boot-examples,29358,0.95
phantomjs,29312,1.00
vimrc,29298,0.99
dotfiles,29267,0.64
Awesome-Design-Tools,29266,0.78
react-boilerplate,29241,0.96
COVID-19,29230,0.55
es6features,29158,0.63
English-level-up-tips,29144,0.74
awesome-php,29111,0.98
cli,29085,0.83
ccxt,29052,0.91
NeteaseCloudMusicApi,29007,0.90
appsmith,28928,0.77
easyexcel,28888,0.91
TrafficMonitor,28885,0.40
project-guidelines,28874,0.76
lottie-web,28861,0.76
solid,28845,0.95
html2canvas,28753,0.65
run,28711,0.86
Hover,28708,0.78
fd,28702,0.89
leakcanary,28682,0.95
Files,28671,0.95
symfony,28651,0.97
halo,28615,0.89
linux-insides,28588,0.85
Coursera-ML-AndrewNg-Notes,28582,0.25
500lines,28542,0.57
photoprism,28528,0.80
trpc,28502,0.91
standard,28478,0.92
fastify,28412,0.97
swc,28401,0.90
sequelize,28393,0.92
awesome-shell,28387,0.38
yew,28385,0.92
vault,28331,0.84
learnGitBranching,28331,0.95
apollo,28328,0.96
programmer-job-blacklist,28320,0.55
todomvc,28302,0.82
Python,28296,0.34
vuex,28236,0.93
webtorrent,28221,0.95
fiber,28180,0.96
DeepSpeed,28172,0.65
android_guides,28170,0.58
slick,28073,0.67
backbone,28036,0.98
layui,28010,1.00
swift-algorithm-club,28009,0.86
sqlmap,27990,0.99
slidev,27959,0.94
async,27928,0.99
openpose,27906,0.87
clashX,27856,0.00
swr,27813,0.93
composer,27811,0.98
modern-unix,27800,0.16
slate,27791,0.81
interactive-coding-challenges,27782,0.48
postcss,27777,0.98
awesome-macos-command-line,27775,0.00
cockroach,27726,0.90
JavaScript,27717,0.97
selenium,27651,0.98
calculator,27639,0.70
algo,27592,0.90
sway,27572,0.76
particles.js,27569,0.26
lapce,27517,0.57
vaultwarden,27465,0.99
nacos,27431,0.97
ray,27415,0.80
Sortable,27403,0.76
fairseq,27368,0.75
zsh-autosuggestions,27268,0.79
uppy,27260,0.94
pytorch-tutorial,27238,0.64
drone,27235,0.96
HowToLiveLonger,27229,0.82
ChatGPT,27221,0.99
minikube,27182,0.91
druid,27179,0.36
machine-learning-for-software-engineers,27171,0.38
jsPDF,27156,0.94
How-To-Ask-Questions-The-Smart-Way,27141,0.75
legacy-homebrew,27087,1.00
FastChat,27085,0.67
OpenAPI-Specification,27050,0.73
nps,27044,0.61
ClashForAndroid,27041,0.85
underscore,27040,0.98
spaCy,27025,0.99
lighthouse,27003,0.93
JCSprout,26999,0.66
Daily-Interview-Question,26987,0.53
hutool,26986,1.00
streamlit,26974,0.82
Charts,26968,0.80
lede,26949,0.92
weui,26919,0.93
awesome-python-cn,26896,0.64
consul,26866,0.79
cheerio,26828,0.98
AnotherRedisDesktopManager,26796,0.78
Faker,26759,0.87
mobx,26697,0.99
python-guide,26684,0.64
AI-Expert-Roadmap,26670,0.75
stanford_alpaca,26637,0.37
pytorch-image-models,26636,0.92
hangzhou_house_knowledge,26635,0.33
canal,26619,0.79
chatgpt-web,26614,0.99
waifu2x,26587,0.58
floating-ui,26584,0.98
react-select,26549,0.92
echo,26515,0.96
awesome-remote-job,26488,0.87
poetry,26484,0.89
yapi,26473,0.38
portainer,26460,0.94
ResumeSample,26383,0.00
spring-cloud-alibaba,26351,0.82
react-spring,26293,0.93
vhr,26285,0.38
gitflow,26274,0.35
django-rest-framework,26259,0.98
linkedin-skill-assessments-quizzes,26259,0.90
angular-cli,26257,0.98
nushell,26248,0.79
rethinkdb,26241,0.79
mattermost,26240,0.92
etcher,26210,0.84
AgentGPT,26209,0.76
awesome-docker,26184,1.00
detectron2,26182,0.90
bark,26182,0.68
sharp,26179,0.96
codemirror5,26145,0.90
nginxconfig.io,26139,0.80
SpringAll,26079,0.61
influxdb,26064,0.87
css-protips,26042,0.91
30-Days-Of-Python,26022,0.79
folly,25988,0.68
mongoose,25985,0.97
reverse-interview,25962,0.68
rocksdb,25958,0.81
serenity,25943,0.83
ace,25931,0.96
Detectron,25924,0.67
jq,25891,0.81
RSSHub,25881,0.94
immer,25869,0.95
Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,25832,0.37
the-super-tiny-compiler,25815,0.00
gitbook,25794,0.00
fetch,25774,1.00
kafka,25768,0.00
fabric.js,25698,0.95
bevy,25694,0.66
select2,25685,0.98
pocketbase,25670,0.96
request,25640,0.96
awesome-compose,25619,0.35
tqdm,25618,0.62
butterknife,25613,0.92
C-Plus-Plus,25563,0.96
nprogress,25545,0.34
data-science-ipython-notebooks,25533,0.58
Modernizr,25530,0.89
os-tutorial,25525,0.59
handson-ml2,25511,0.60
nodemon,25503,1.00
remote-jobs,25499,0.93
MetaGPT,25453,0.36
fastjson,25441,0.47
mmdetection,25405,0.88
vagrant,25403,0.93
go-zero,25380,0.77
kit,25376,0.94
chinese-independent-developer,25345,0.98
pnpm,25312,0.66
react-virtualized,25291,0.63
ShareX,25254,0.91
commander.js,25208,0.98
JavaScript30,25172,0.00
weekly,25170,0.99
the_silver_searcher,25166,0.49
python-fire,25153,0.59
NewPipe,25141,0.85
xxl-job,25116,0.62
zig,25086,0.74
hacker-laws,25055,0.34
handson-ml,25039,0.78
cmder,25036,0.98
Clone-Wars,25015,0.91
proxyee-down,25006,0.00
jsoncrack.com,25002,0.81
fastText,24975,0.57
engineering-blogs,24961,0.84
zod,24956,0.83
dokku,24936,0.99
YouCompleteMe,24927,1.00
helm,24893,0.96
toBeTopJavaer,24891,0.56
fonts,24872,0.39
linux-command,24856,0.63
logseq,24815,0.81
nylas-mail,24762,0.71
docsify,24758,0.82
alpine,24758,1.00
modern-js-cheatsheet,24740,0.82
xstate,24711,0.91
applied-ml,24706,0.87
Ryujinx,24698,0.77
awesome-deep-learning-papers,24695,0.42
ngx-admin,24685,0.77
YesPlayMusic,24681,0.70
SDWebImage,24666,0.97
Complete-Python-3-Bootcamp,24649,0.64
jellyfin,24631,0.86
awesome-electron,24623,1.00
darknet,24575,0.23
lightning,24556,0.90
xgboost,24539,0.94
CheatSheetSeries,24536,0.90
jax,24526,0.73
remix,24524,0.96
rufus,24519,0.99
helix,24517,0.75
fastai,24446,0.90
EventBus,24434,0.83
nanoGPT,24430,0.34
Depix,24413,0.00
numpy,24412,0.83
daisyui,24397,0.97
ink,24391,0.87
swagger-ui,24389,0.82
lottie-ios,24378,0.99
SmartRefreshLayout,24372,0.80
k3s,24358,0.98
Python-programming-exercises,24344,0.15
mongo,24338,0.00
iris,24312,0.91
tools,24308,0.94
tachiyomi,24306,0.94
termux-app,24302,0.87
faiss,24285,0.85
plyr,24281,0.60
aos,24275,0.53
eShopOnContainers,24270,0.97
quasar,24199,0.94
ItChat,24197,0.71
seata,24193,0.79
emscripten,24186,0.83
OpenBBTerminal,24184,0.89
editor.js,24173,0.64
novu,24120,0.83
pipenv,24104,0.96
iview,23996,0.80
Signal-Android,23983,0.97
angular-styleguide,23972,0.85
dnSpy,23963,0.00
react-native-elements,23949,0.96
viper,23921,0.53
fe-interview,23915,0.00
netron,23912,0.98
devtools,23892,0.71
discord.js,23890,0.98
rollup,23869,0.85
feather,23858,0.39
GitHubDaily,23848,0.50
professional-programming,23821,0.95
Web,23807,0.81
redash,23787,0.77
hosts,23785,0.97
90DaysOfDevOps,23756,0.95
nsq,23748,0.92
v2ray-core,23737,0.95
BaseRecyclerViewAdapterHelper,23734,0.90
taichi,23711,0.72
server,23707,0.88
pkg,23685,0.97
servo,23674,0.72
go,23663,0.94
react-three-fiber,23662,0.98
hammer.js,23656,0.73
mdb-ui-kit,23640,1.00
components,23637,0.87
awesome-swift,23630,0.98
Awesome,23598,0.60
Vundle.vim,23589,0.77
Hystrix,23585,0.66
RxSwift,23547,0.98
croc,23482,0.72
v2rayNG,23457,0.86
faas,23457,0.96
iTerm2-Color-Schemes,23440,0.82
glances,23434,0.88
mpv,23428,0.91
flutter-go,23408,0.00
Mask_RCNN,23387,0.31
coder2gwy,23384,0.19
devise,23380,0.97
spleeter,23378,0.75
docz,23360,0.91
gitlabhq,23347,0.00
eslint,23337,0.99
apollo,23311,0.85
MonitorControl,23266,0.93
coc.nvim,23257,0.99
mediapipe,23243,0.96
ramda,23223,0.92
ControlNet,23212,0.26
Summer2024-Internships,23210,1.00
ngrok,23191,0.73
spacemacs,23189,0.97
logrus,23189,0.99
expo,23185,0.97
PhotoSwipe,23166,0.66
leetcode,23152,1.00
vapor,23149,0.94
Wox,23146,0.70
awesome-sysadmin,23141,0.27
pure,23133,0.99
backstage,23098,0.91
aseprite,23097,0.59
cascadia-code,23094,0.79
idiomatic.js,23088,0.59
stb,23046,0.87
awesome-vscode,23026,0.54
directus,23025,0.97
streisand,23024,0.81
text-generation-webui,23023,0.82
penpot,22979,0.77
python-telegram-bot,22978,0.99
architecture-components-samples,22977,0.78
CodeHub,22960,0.63
react-redux,22958,0.98
DeepSpeech,22952,0.95
cal.com,22945,0.88
NativeScript,22922,0.86
autocomplete,22920,0.74
algorithms,22917,0.64
awesome-piracy,22911,1.00
openzeppelin-contracts,22906,0.92
core-js,22904,0.96
docker_practice,22863,0.98
freqtrade,22848,0.99
react-admin,22834,0.98
localForage,22771,0.71
whisper.cpp,22751,0.53
go-patterns,22747,0.43
copilot-docs,22707,0.00
react-navigation,22706,0.93
milvus,22692,0.93
turbo,22691,0.69
mostly-adequate-guide,22689,0.74
envoy,22663,0.86
guzzle,22661,0.99
Real-ESRGAN,22655,0.26
sails,22637,0.92
exa,22629,0.69
micro,22623,0.65
setup-ipsec-vpn,22608,1.00
openssl,22588,0.77
Telegram,22563,0.00
RevokeMsgPatcher,22561,0.92
awesome-actions,22554,0.64
srs,22545,0.90
tdesktop,22534,0.94
hub,22530,0.88
trilium,22526,0.71
octotree,22514,0.95
30-Days-Of-React,22483,0.23
draft-js,22481,0.55
redux-saga,22472,0.99
firecracker,22457,0.92
ember.js,22448,0.96
blog,22447,0.33
Data-Science-For-Beginners,22437,0.84
CyberChef,22425,0.64
gson,22383,0.81
table,22378,0.94
ML-From-Scratch,22362,0.54
flv.js,22352,0.43
skywalking,22347,0.99
MiniGPT-4,22335,0.27
quivr,22331,0.77
homebridge,22325,0.99
sweetalert,22294,0.77
react-redux-links,22259,0.58
ipfs,22257,0.98
wepy,22254,0.84
RedisDesktopManager,22248,0.99
fish-shell,22201,0.93
wttr.in,22197,0.55
tuning_playbook,22180,0.30
mocha,22177,0.91
surrealdb,22175,0.67
intro.js,22172,0.94
Rectangle,22164,0.83
algo,22156,0.18
github1s,22149,0.73
celery,22132,0.88
k9s,22126,0.71
SwiftyJSON,22118,0.84
javascript-testing-best-practices,22105,0.24
libuv,22103,0.93
react-starter-kit,22102,1.00
locust,22086,0.99
headlessui,22043,1.00
AFFiNE,22038,0.85
howler.js,22033,0.77
elixir,22026,0.99
pumpkin-book,22017,0.77
flow,22012,0.78
awesome-falsehood,22004,0.93
highlight.js,21986,0.96
tokio,21977,0.87
jumpserver,21970,0.95
lux,21966,0.53
polymer,21956,0.99
chosen,21955,0.89
notable,21917,0.57
react-bootstrap,21910,0.97
flink,21907,0.00
windows95,21903,0.46
vant,21878,1.00
libgdx,21877,0.94
NLP-progress,21874,0.65
vuepress,21863,0.74
dapr,21837,0.88
qBittorrent,21813,0.80
vegeta,21803,0.87
electron-react-boilerplate,21799,0.96
awesome-datascience,21787,1.00
iosched,21765,0.77
wiki,21758,0.98
JARVIS,21752,0.60
passport,21752,0.56
pytudes,21751,0.51
WaveFunctionCollapse,21748,0.94
api-guidelines,21742,0.48
scrollreveal,21725,0.94
homemade-machine-learning,21718,0.56
redisson,21709,0.94
dracula-theme,21708,0.99
awesome-cto,21707,1.00
TDengine,21707,0.73
validator.js,21691,0.85
vnpy,21679,0.99
bitcoinbook,21670,0.81
refined-github,21666,0.97
spacedrive,21665,0.80
v8,21637,0.00
dragula,21630,0.79
docker-cheat-sheet,21617,0.81
gfwlist,21603,0.81
gradio,21602,0.85
flameshot,21596,0.79
modern-cpp-tutorial,21580,0.93
nanoid,21567,0.97
Kingfisher,21567,0.91
masscan,21563,0.33
react-motion,21549,0.63
llvm-project,21537,0.70
Hero,21535,0.94
rancher,21513,0.92
vscodium,21502,0.91
awesome-deep-learning,21501,0.70
